antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'High Education', 'Urban'})","frozenset({'Low_Poverty', 'Low_Crime'})",0.17903711133400202,0.5551654964894684,0.14944834503510532,0.8347338935574229,1.503576679090787,1.0,0.05005311823132384,2.6916257246315203,0.40795898537593306,0.25557461406518006,0.6284773210298773,0.5519649594255046
frozenset({'High Education'}),"frozenset({'Low_Unemployment', 'Low_Poverty', 'Low_Crime'})",0.20661985957873621,0.5391173520561685,0.16599799398194584,0.8033980582524272,1.4902099796793857,1.0,0.054605642403640214,2.3442426043562783,0.41462296760000156,0.28633217993079585,0.5734229903757777,0.5556525174983066
frozenset({'Low_Poverty'}),"frozenset({'Low_Crime', 'Low_Unemployment', 'Urban'})",0.6143430290872618,0.48495486459378134,0.43981945837512537,0.7159183673469388,1.476257729565456,1.0,0.14189081788997887,1.8130180772201665,0.836524503531219,0.6669201520912548,0.44843351946426097,0.8114235063208324
"frozenset({'High Education', 'Low_Unemployment'})","frozenset({'Low_Poverty', 'Low_Crime'})",0.20310932798395184,0.5551654964894684,0.16599799398194584,0.817283950617284,1.4721447132166794,1.0,0.05323870307009293,2.4345672151589905,0.4024629296199895,0.28027095681625736,0.5892493771486632,0.5581451370069257
"frozenset({'High Education', 'Low_Poverty'})","frozenset({'Low_Crime', 'Low_Unemployment'})",0.1760280842527583,0.6504513540621866,0.16599799398194584,0.943019943019943,1.4497931891918012,1.0,0.051500288226766555,6.13457873620862,0.3765255142663281,0.2513287775246773,0.8369896217815872,0.5991121303380362
frozenset({'High Education'}),"frozenset({'Low_Poverty', 'Low_Crime'})",0.20661985957873621,0.5551654964894684,0.16599799398194584,0.8033980582524272,1.4471325457591144,1.0,0.05128977705433249,2.2626150055103578,0.389445460830109,0.2786195286195286,0.5580335153949715,0.5512021908244973
"frozenset({'High Education', 'Low_Poverty', 'Urban'})","frozenset({'Low_Crime', 'Low_Unemployment'})",0.15947843530591777,0.6504513540621866,0.14944834503510532,0.9371069182389936,1.4407025404537805,1.0,0.04571538084665229,5.557823470411225,0.3639337828963175,0.22627182991647682,0.8200734504570348,0.5834339525659116
"frozenset({'Low_Poverty', 'Rural'})","frozenset({'Low_Crime', 'Low_Education'})",0.11334002006018054,0.5646940822467402,0.09077231695085256,0.8008849557522124,1.4182634118738113,1.0,0.02676987834114178,2.1862030536052606,0.33261043473913154,0.15456874466268147,0.5425859467395294,0.48081547965230514
"frozenset({'Low_Poverty', 'Rural', 'Low_Unemployment'})","frozenset({'Low_Crime', 'Low_Education'})",0.10381143430290872,0.5646940822467402,0.08274824473420261,0.7971014492753624,1.4115633124823026,1.0,0.024126542113803807,2.145436308926781,0.3253395736887624,0.14126712328767124,0.5338943431510054,0.4718189306767576
"frozenset({'Low_Poverty', 'Low_Unemployment'})","frozenset({'Low_Crime', 'Urban'})",0.5927783350050151,0.526579739217653,0.43981945837512537,0.7419627749576988,1.4090226412053821,1.0,0.12767439731430996,1.8346975352286365,0.7128505709679772,0.6472324723247231,0.45495103100174933,0.788600435097897
"frozenset({'High Education', 'Urban'})","frozenset({'Low_Crime', 'Low_Unemployment'})",0.17903711133400202,0.6504513540621866,0.1629889669007021,0.9103641456582633,1.3995883627159422,1.0,0.04653403540611804,3.8996520812437305,0.34776749212912916,0.24454477050413845,0.7435668672059929,0.5804712015878055
frozenset({'High Education'}),"frozenset({'Low_Crime', 'Low_Unemployment'})",0.20661985957873621,0.6504513540621866,0.18806419257773319,0.9101941747572815,1.399327050474957,1.0,0.05366802513860536,3.8922714088210544,0.35968984407922444,0.2811094452773613,0.7430806089899846,0.5996614667155721
frozenset({'Low_Poverty'}),"frozenset({'Low_Crime', 'Urban'})",0.6143430290872618,0.526579739217653,0.44784353059177534,0.7289795918367347,1.384366958211856,1.0,0.12434293854482203,1.7468066851155875,0.719935577537763,0.64616497829233,0.4275268073331026,0.7897278911564625
"frozenset({'Low_Poverty', 'Low_Education'})","frozenset({'Low_Crime', 'Low_Unemployment', 'Urban'})",0.4383149448345035,0.48495486459378134,0.2903711133400201,0.6624713958810069,1.3660475319407732,1.0,0.07780814861837271,1.5259303333730005,0.4770663705896869,0.4587955625990492,0.3446620870367359,0.6306152222424684
"frozenset({'Low_Poverty', 'Urban'})","frozenset({'Low_Crime', 'Low_Unemployment'})",0.5010030090270813,0.6504513540621866,0.43981945837512537,0.8778778778778779,1.3496441699988346,1.0,0.1139413727642305,2.862287682720291,0.5191693931458891,0.6180408738548274,0.6506291083048614,0.7770268340815758
frozenset({'Low_Poverty'}),"frozenset({'Low_Crime', 'Low_Unemployment'})",0.6143430290872618,0.6504513540621866,0.5391173520561685,0.8775510204081632,1.3491416612905762,1.0,0.13951709692769382,2.854647275158809,0.6710315420207458,0.7429163787145818,0.6496940239510437,0.8531933976366182
"frozenset({'Low_Unemployment', 'Urban'})","frozenset({'Low_Poverty', 'Low_Crime'})",0.5877632898696088,0.5551654964894684,0.43981945837512537,0.7482935153583619,1.347874678974321,1.0,0.11351355973638066,1.7672747054723497,0.6260754008217575,0.6255349500713265,0.43415701197809864,0.7702623855021258
"frozenset({'Low_Poverty', 'Rural'})","frozenset({'Low_Crime', 'Low_Unemployment'})",0.11334002006018054,0.6504513540621866,0.09929789368104312,0.8761061946902654,1.346920394920886,1.0,0.025575724163463306,2.8213569279266353,0.29048973901915076,0.14943396226415093,0.6455606201038583,0.5143830896350324
"frozenset({'Low_Poverty', 'Low_Unemployment', 'Low_Education'})","frozenset({'Low_Crime', 'Urban'})",0.41675025075225675,0.526579739217653,0.2903711133400201,0.6967509025270759,1.3231631425133232,1.0,0.07091887498000524,1.561159669484645,0.418749081123947,0.44470046082949316,0.35945052927859045,0.6240897369778237
"frozenset({'Low_Poverty', 'Rural', 'Low_Education'})","frozenset({'Low_Crime', 'Low_Unemployment'})",0.09679037111334002,0.6504513540621866,0.08274824473420261,0.8549222797927462,1.3143523715549235,1.0,0.019790816783349055,2.4093888809285002,0.26479901738091643,0.12452830188679247,0.5849569955620313,0.4910694668046229
frozenset({'Low_Poverty'}),"frozenset({'Low_Crime', 'Low_Unemployment', 'Low_Education'})",0.6143430290872618,0.46238716148445336,0.3731193580742227,0.6073469387755103,1.3135030324494223,1.0,0.08905502867680276,1.3691803059907375,0.6188843212103419,0.5302922309337135,0.2696360036551935,0.7071441852228961
"frozenset({'Low_Poverty', 'Low_Education'})","frozenset({'Low_Crime', 'Low_Unemployment'})",0.4383149448345035,0.6504513540621866,0.3731193580742227,0.851258581235698,1.3087198234263544,1.0,0.08801680870092726,2.3500424349973,0.41997647849462366,0.5213735108619482,0.5744757689870613,0.7124450192223208
"frozenset({'Low_Poverty', 'Urban', 'Low_Education'})","frozenset({'Low_Crime', 'Low_Unemployment'})",0.3415245737211635,0.6504513540621866,0.2903711133400201,0.8502202643171806,1.3071235212401373,1.0,0.06822599191757822,2.333751253761283,0.35682631635024803,0.413867047891351,0.5715053185774147,0.6483175338548124
"frozenset({'Low_Poverty', 'Low_Education'})","frozenset({'Low_Crime', 'Urban'})",0.4383149448345035,0.526579739217653,0.29839518555667,0.6807780320366132,1.292829900839054,1.0,0.06758741621051717,1.4830441144221191,0.4032563025210082,0.44770504138449957,0.32571122445021905,0.62372234935164
"frozenset({'Low_Unemployment', 'Urban', 'Low_Education'})","frozenset({'Low_Poverty', 'Low_Crime'})",0.40972918756268806,0.5551654964894684,0.2903711133400201,0.7086903304773563,1.276538860859845,1.0,0.06290360550055382,1.5270159217147246,0.3670040191758268,0.4304832713754647,0.3451279808025349,0.6158627804148299
"frozenset({'Rural', 'Low_Unemployment'})","frozenset({'Low_Crime', 'Low_Education'})",0.1950852557673019,0.5646940822467402,0.14042126379137412,0.7197943444730077,1.2746624537115252,1.0,0.03025777432598699,1.553522954183652,0.26770360480640853,0.22672064777327935,0.3563017544690984,0.48423109763614863
"frozenset({'Low_Poverty', 'Rural', 'Low_Unemployment'})",frozenset({'Low_Crime'}),0.10381143430290872,0.7557673019057172,0.09929789368104312,0.9565217391304348,1.265629958743256,1.0,0.020840606070971185,5.617352056168508,0.23419138220481253,0.13060686015831133,0.821980180341041,0.5439543002221517
"frozenset({'Low_Poverty', 'Rural', 'Low_Unemployment', 'Low_Education'})",frozenset({'Low_Crime'}),0.08726178535606821,0.7557673019057172,0.08274824473420261,0.9482758620689655,1.2547193556506417,1.0,0.01679864065617112,4.721832163156136,0.2224175824175824,0.10883905013192613,0.7882178007505488,0.528882456581928
"frozenset({'Low_Poverty', 'Rural'})",frozenset({'Low_Crime'}),0.11334002006018054,0.7557673019057172,0.10732196589769308,0.9469026548672567,1.2529023847414131,1.0,0.021663284738870567,4.599715814108996,0.2276557279993233,0.14088215931533904,0.7825952644872891,0.5444533181436483
"frozenset({'High Education', 'Low_Poverty', 'Low_Unemployment'})",frozenset({'Low_Crime'}),0.1760280842527583,0.7557673019057172,0.16599799398194584,0.943019943019943,1.247764941195598,1.0,0.03296172368660644,4.28628385155466,0.2409875825850949,0.21676489849377864,0.7666976722418198,0.5813308076081798
"frozenset({'High Education', 'Low_Poverty'})",frozenset({'Low_Crime'}),0.1760280842527583,0.7557673019057172,0.16599799398194584,0.943019943019943,1.247764941195598,1.0,0.03296172368660644,4.28628385155466,0.2409875825850949,0.21676489849377864,0.7666976722418198,0.5813308076081798
"frozenset({'Low_Poverty', 'Rural', 'Low_Education'})",frozenset({'Low_Crime'}),0.09679037111334002,0.7557673019057172,0.09077231695085256,0.9378238341968912,1.2408896651550105,1.0,0.017621319324070503,3.9280758943497154,0.21492970449197954,0.11915734035549704,0.7454224340628358,0.5289650026989765
frozenset({'Low_Unemployment'}),"frozenset({'Low_Poverty', 'Low_Crime'})",0.7828485456369108,0.5551654964894684,0.5391173520561685,0.6886611146700833,1.2404609418718573,1.0,0.10450685054159464,1.428779135761193,0.8926859659487617,0.674827369742624,0.3001017617273348,0.8298770794669296
"frozenset({'High Education', 'Low_Poverty', 'Low_Unemployment', 'Urban'})",frozenset({'Low_Crime'}),0.15947843530591777,0.7557673019057172,0.14944834503510532,0.9371069182389936,1.2399410716446935,1.0,0.028919758271806387,3.883299899699091,0.23022616969133922,0.19515389652914208,0.7424870533235179,0.5674253901082161
"frozenset({'High Education', 'Low_Poverty', 'Urban'})",frozenset({'Low_Crime'}),0.15947843530591777,0.7557673019057172,0.14944834503510532,0.9371069182389936,1.2399410716446935,1.0,0.028919758271806387,3.883299899699091,0.23022616969133922,0.19515389652914208,0.7424870533235179,0.5674253901082161
frozenset({'Rural'}),"frozenset({'Low_Crime', 'Low_Education'})",0.2913741223671013,0.5646940822467402,0.20210631895687062,0.693631669535284,1.2283317487152365,1.0,0.03756907633633097,1.42085807985755,0.2623213373162008,0.3090490797546013,0.29619994130571,0.5257678773964164
"frozenset({'High Education', 'Low_Unemployment'})",frozenset({'Low_Crime'}),0.20310932798395184,0.7557673019057172,0.18806419257773319,0.9259259259259259,1.2251468455848018,1.0,0.034560803775418536,3.2971414242728185,0.2306104468219006,0.24398178269355886,0.6967069739143661,0.5873823392071567
frozenset({'High Education'}),frozenset({'Low_Crime'}),0.20661985957873621,0.7557673019057172,0.19107321965897692,0.924757281553398,1.2236005437408597,1.0,0.03491668586501728,3.245931342414336,0.2303307219340943,0.24772431729518854,0.6919220111241798,0.5887887270407999
"frozenset({'High Education', 'Urban'})",frozenset({'Low_Crime'}),0.17903711133400202,0.7557673019057172,0.16399197592778336,0.9159663865546218,1.2119687954810323,1.0,0.02868158135389115,2.9063691073219644,0.21303794701652712,0.21275211450878334,0.6559280796507513,0.5664768893622478
"frozenset({'High Education', 'Low_Unemployment', 'Urban'})",frozenset({'Low_Crime'}),0.17803410230692077,0.7557673019057172,0.1629889669007021,0.9154929577464789,1.2113423740852547,1.0,0.028436613752994194,2.8900869274490137,0.21225888205753982,0.2114508783344177,0.6539896462966712,0.5655766049515407
"frozenset({'Low_Poverty', 'Low_Unemployment'})",frozenset({'Low_Crime'}),0.5927783350050151,0.7557673019057172,0.5391173520561685,0.9094754653130287,1.203380277262229,1.0,0.09111486918126493,2.697972421938711,0.4150257761484706,0.6660470879801734,0.6293512891872263,0.8114066112232031
frozenset({'Low_Poverty'}),frozenset({'Low_Crime'}),0.6143430290872618,0.7557673019057172,0.5551654964894684,0.9036734693877552,1.1957033164958086,1.0,0.0908651229516031,2.5354665691991243,0.42439823184534414,0.6812307692307693,0.6055952730168045,0.8191227333667376
"frozenset({'Low_Poverty', 'Low_Unemployment', 'Urban'})",frozenset({'Low_Crime'}),0.4889669007021063,0.7557673019057172,0.43981945837512537,0.8994871794871795,1.1901641910401035,1.0,0.07027426311029378,2.4298661289992425,0.31266036526073027,0.5464174454828661,0.5884546938345706,0.7407190376533442
"frozenset({'Low_Poverty', 'Low_Unemployment', 'Low_Education'})",frozenset({'Low_Crime'}),0.41675025075225675,0.7557673019057172,0.3731193580742227,0.8953068592057762,1.1846329643373044,1.0,0.058153145494658554,2.332843357659186,0.2672211743821598,0.46675031367628617,0.5713385569944924,0.6945014720713686
"frozenset({'Low_Poverty', 'Urban'})",frozenset({'Low_Crime'}),0.5010030090270813,0.7557673019057172,0.44784353059177534,0.8938938938938938,1.182763387142949,1.0,0.06920183821273246,2.3017779754357397,0.3096659107407136,0.5536267823930564,0.565553232904362,0.7432309549097871
"frozenset({'Rural', 'Medium_Poverty'})","frozenset({'Low_Crime', 'Low_Education'})",0.1334002006018054,0.5646940822467402,0.08876629889669008,0.6654135338345866,1.1783610892239482,1.0,0.013435995046322535,1.301026675532215,0.174663894120109,0.145679012345679,0.2313762516891309,0.41130356975921156
frozenset({'Low_Unemployment'}),"frozenset({'Low_Crime', 'Urban'})",0.7828485456369108,0.526579739217653,0.48495486459378134,0.6194746957078795,1.1764119459442968,1.0,0.07272268158537798,1.2441229412142147,0.6905670020610873,0.588199513381995,0.19622091445075387,0.7702135383301302
"frozenset({'Low_Poverty', 'Low_Education'})",frozenset({'Low_Crime'}),0.4383149448345035,0.7557673019057172,0.3891675025075226,0.8878718535469108,1.1747952727090512,1.0,0.0579033992649966,2.1781569197388087,0.26489552650957293,0.48348909657320877,0.5408962545637374,0.7014010893481071
"frozenset({'Low_Poverty', 'Low_Unemployment', 'Urban', 'Low_Education'})",frozenset({'Low_Crime'}),0.3294884653961886,0.7557673019057172,0.2903711133400201,0.8812785388127854,1.1660712716607127,1.0,0.04135450483848738,2.057190803178767,0.2124042303354893,0.3652996845425868,0.5139002184654908,0.6327427863274279
"frozenset({'Low_Unemployment', 'Low_Education'})","frozenset({'Low_Poverty', 'Low_Crime'})",0.5797392176529589,0.5551654964894684,0.3731193580742227,0.6435986159169551,1.1592914545062407,1.0,0.05126814747150177,1.2481278787819772,0.32694972669181616,0.489795918367347,0.1988000452518697,0.6578426683920819
"frozenset({'Low_Poverty', 'Urban', 'Low_Education'})",frozenset({'Low_Crime'}),0.3415245737211635,0.7557673019057172,0.29839518555667,0.8737151248164463,1.1560636754372886,1.0,0.04028207994092603,1.9339821790954241,0.20501257624146357,0.37350910232266166,0.48293215376590126,0.6342696393823439
"frozenset({'Rural', 'Low_Unemployment', 'Medium_Poverty'})","frozenset({'Low_Crime', 'Low_Education'})",0.08074222668004012,0.5646940822467402,0.05265797392176529,0.6521739130434782,1.15491543748552,1.0,0.007063316328121773,1.2515045135406215,0.14591743953446074,0.08883248730964466,0.20096173111600857,0.3727121785466059
frozenset({'Urban'}),"frozenset({'Low_Unemployment', 'Low_Poverty', 'Low_Crime'})",0.7086258776328987,0.5391173520561685,0.43981945837512537,0.6206652512384996,1.1512618706693658,1.0,0.05778695162719849,1.2149760849713318,0.4509250554915537,0.5443823711980137,0.17693853206699472,0.7182396023634359
frozenset({'Urban'}),"frozenset({'Low_Poverty', 'Low_Crime'})",0.7086258776328987,0.5551654964894684,0.44784353059177534,0.6319886765746638,1.1383788808399997,1.0,0.054438893410421796,1.2087522181930406,0.4171881896486921,0.5488629379225568,0.1727005874744979,0.7193367050443329
"frozenset({'Rural', 'High_Unemployment'})","frozenset({'Low_Crime', 'Low_Education'})",0.09628886659979939,0.5646940822467402,0.06168505516549649,0.640625,1.134463809946714,1.0,0.007311302010343974,1.2112860320090706,0.13115508513575708,0.10292887029288703,0.17443116359447003,0.3749306172291297
"frozenset({'Rural', 'Low_Unemployment'})",frozenset({'Low_Crime'}),0.1950852557673019,0.7557673019057172,0.16549648946840523,0.8483290488431877,1.1224738708648416,1.0,0.018057432075564733,1.6102799925199331,0.13555555555555573,0.210727969348659,0.37898998643391435,0.5336535755164844
frozenset({'Low_Poverty'}),"frozenset({'Low_Crime', 'Low_Education'})",0.6143430290872618,0.5646940822467402,0.3891675025075226,0.6334693877551021,1.1217921484757314,1.0,0.04225162951240885,1.187638639749985,0.2815177027335005,0.4926984126984126,0.1579930405341861,0.6613172871279951
"frozenset({'Low_Poverty', 'Low_Unemployment'})","frozenset({'Low_Crime', 'Low_Education'})",0.5927783350050151,0.5646940822467402,0.3731193580742227,0.6294416243654822,1.1146595017626746,1.0,0.03838094021281496,1.174729668457427,0.2526020975687271,0.4757033248081842,0.14874032141102714,0.64509381395894
frozenset({'Low_Unemployment'}),frozenset({'Low_Crime'}),0.7828485456369108,0.7557673019057172,0.6504513540621866,0.8308776425368354,1.0993828926466156,1.0,0.05880002092536385,1.4441183398680892,0.41629377440567233,0.7323546019198193,0.3075359737545169,0.8457639705716692
"frozenset({'Rural', 'Low_Unemployment', 'Low_Education'})",frozenset({'Low_Crime'}),0.17001003009027083,0.7557673019057172,0.14042126379137412,0.8259587020648967,1.0928743542915753,1.0,0.011933242053140364,1.4033031297281673,0.10238886491152352,0.17879948914431673,0.28739558915278046,0.5058791519614464
"frozenset({'Low_Unemployment', 'Urban'})",frozenset({'Low_Crime'}),0.5877632898696088,0.7557673019057172,0.48495486459378134,0.8250853242320819,1.0917187369069485,1.0,0.040742588849799144,1.3962962056902415,0.2037983378497724,0.5648364485981309,0.28381958217406844,0.733378760324402
"frozenset({'Low_Unemployment', 'Low_Education'})",frozenset({'Low_Crime'}),0.5797392176529589,0.7557673019057172,0.46238716148445336,0.7975778546712803,1.0553219921795174,1.0,0.024239217149945314,1.2065512777649186,0.12473661594851905,0.5295807007466972,0.17119146245283953,0.7046947003946978
frozenset({'Urban'}),"frozenset({'Low_Crime', 'Low_Unemployment'})",0.7086258776328987,0.6504513540621866,0.48495486459378134,0.6843595187544231,1.0521302084782727,1.0,0.024028202963957024,1.1074265397088123,0.17004700735279696,0.5547905909351691,0.09700556728309859,0.714963105560712
frozenset({'Rural'}),frozenset({'Low_Crime'}),0.2913741223671013,0.7557673019057172,0.2291875626880642,0.7865748709122203,1.0407632996675298,1.0,0.00897652838153376,1.1443483676836963,0.05527138589620292,0.28019619865113427,0.12614023120937848,0.5449131819723676
"frozenset({'Low_Unemployment', 'Urban', 'Low_Education'})",frozenset({'Low_Crime'}),0.40972918756268806,0.7557673019057172,0.32196589769307926,0.7858017135862914,1.0397402899078068,1.0,0.012305975096804977,1.1402177962458806,0.06475224778133339,0.3816884661117717,0.12297457267159126,0.6059068289232055
"frozenset({'Rural', 'Low_Education'})",frozenset({'Low_Crime'}),0.2637913741223671,0.7557673019057172,0.20210631895687062,0.7661596958174905,1.0137507853086105,1.0,0.0027414238704076277,1.0444422698991285,0.018424486649853723,0.24723926380368103,0.0425511980699715,0.5167892042458389
frozenset({'Urban'}),frozenset({'Low_Crime'}),0.7086258776328987,0.7557673019057172,0.526579739217653,0.7430997876857749,0.9832388697050001,1.0,-0.008976528381533733,0.9506909157223734,-0.05527138589620274,0.5614973262032087,-0.05186657773011274,0.71992414732663
frozenset({'Low_Education'}),frozenset({'Low_Crime'}),0.7933801404212638,0.7557673019057172,0.5646940822467402,0.7117572692793932,0.941767747142077,1.0,-0.034916685865017394,0.8473160710200778,-0.23033072193409498,0.5736118186449313,-0.18019713564043122,0.7294685483755957
"frozenset({'Rural', 'Low_Unemployment', 'Medium_Poverty'})",frozenset({'Low_Crime'}),0.08074222668004012,0.7557673019057172,0.05717151454363089,0.7080745341614907,0.9368949045242285,1.0,-0.003850820264202845,0.8366269019825433,-0.06826947514859133,0.07335907335907335,-0.1952759319958678,0.39186075745898025
"frozenset({'Urban', 'Low_Education'})","frozenset({'Low_Crime', 'Low_Unemployment'})",0.5295887662988967,0.6504513540621866,0.32196589769307926,0.6079545454545454,0.9346656620172425,1.0,-0.022505832442160978,0.891602343261669,-0.1293719639139486,0.375219170075979,-0.12157623581583425,0.5514714901520992
"frozenset({'Rural', 'Medium_Poverty'})",frozenset({'Low_Crime'}),0.1334002006018054,0.7557673019057172,0.09327983951855567,0.699248120300752,0.9252161591769738,1.0,-0.007539670163952225,0.8120737211634907,-0.08531358676782784,0.11720226843100191,-0.23141529388152063,0.4113360707674961
"frozenset({'Medium_Poverty', 'Rural', 'Low_Unemployment', 'Low_Education'})",frozenset({'Low_Crime'}),0.07622868605817452,0.7557673019057172,0.05265797392176529,0.6907894736842105,0.9140240282191876,1.0,-0.00495317446823923,0.7898589385176806,-0.09241497109392613,0.06756756756756756,-0.266048849021939,0.3802321621904795
"frozenset({'Medium_Poverty', 'Rural', 'Low_Education'})",frozenset({'Low_Crime'}),0.1288866599799398,0.7557673019057172,0.08876629889669008,0.6887159533073931,0.9112804319143608,1.0,-0.00864202436798861,0.7845975426278838,-0.10052660834966784,0.11153119092627599,-0.27453878666336384,0.403083922240956
"frozenset({'Urban', 'Low_Education'})",frozenset({'Low_Crime'}),0.5295887662988967,0.7557673019057172,0.36258776328986964,0.6846590909090909,0.9059125595704892,1.0,-0.03765810973542494,0.774503691253942,-0.18085430194805197,0.3929347826086957,-0.291149430651484,0.5822101028533511
"frozenset({'Rural', 'High_Unemployment'})",frozenset({'Low_Crime'}),0.09628886659979939,0.7557673019057172,0.06369107321965897,0.6614583333333334,0.8752142778146428,1.0,-0.009080903694030945,0.7214258159092662,-0.13626962560386482,0.0807888040712468,-0.38614390828199857,0.37286586208803363
"frozenset({'Rural', 'High_Unemployment', 'Low_Education'})",frozenset({'Low_Crime'}),0.09378134403209629,0.7557673019057172,0.06168505516549649,0.6577540106951871,0.8703128714838773,1.0,-0.009191818182732757,0.7136174147442326,-0.14121279094927522,0.07829408020369191,-0.40131109378603064,0.3696865607556891
